Survey_ID,Site,Date_mm/dd/yy,Depth,Time,Duration,Visbility_m,Researcher,GrowthForm,0-20,20-40,40-60,60-80,80+,Bleaching,Site_Type
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Massive,0,0,2,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Sub Massive,0,0,1,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Arborescent,0,2,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Caespitose,10,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Corymbose,1,0,1,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Solitary,11,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Tabular,0,0,0,0,1,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Foliose,24,8,1,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Laminar,1,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,05/19/2020,10,14:00,50,12,GlobalReef,Encrusting,71,21,6,3,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Massive,0,1,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Sub Massive,5,6,6,4,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Arborescent,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Caespitose,1,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Corymbose,1,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Solitary,10,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Tabular,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Foliose,21,2,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Laminar,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Encrusting,50,20,5,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Massive,2,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Sub Massive,11,11,2,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Arborescent,1,0,1,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Caespitose,1,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Corymbose,2,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Digitate,1,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Solitary,9,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Tabular,0,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Foliose,15,2,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Laminar,0,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR2.2,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Encrusting,28,20,8,2,0,Pre,High Density
GR2.3,Green Rock Wall,9/12/2020,10,14:00,50,12,GlobalReef,Massive,1,0,0,0,0,Pre,High Density
